      4 anthony	last
      4 anthony	donor
      4 angeles	january
      4 andrea	sheridan
      4 and	wire
      4 and	watkins
      4 and	then
      4 and	their
      4 and	so
      4 and	is
      4 and	in
      4 and	i
      4 and	how
      4 analysis	of
      4 an	officer
      4 allegedly	killed
      4 all	electric
      4 alan	k
      4 about	that
      4 a	violent
      4 a	vehicle
      4 a	statement
      4 a	small
      4 a	record
      4 a	person
      4 a	peak
      4 a	minor
      4 a	male
      4 a	collier
      4 a	big
      3 yourself	you
      3 your	own
      3 young	muslim
      3 you	love
      3 you	like
      3 you	know
      3 you	even
      3 you	don
      3 york	times
      3 york	and
      3 yitzhak	abergil
      3 yet	had
      3 yesterday	photo
      3 yesterday	for
      3 years	old
      3 years	he
      3 years	ago
      3 year	later
      3 writing	the
      3 writers	writing
      3 writers	won
      3 writer	michael
      3 write	for
      3 worked	as
      3 words	pasadena
      3 words	jan
      3 words	dateline
      3 words	dark
      3 words	a
      3 wood	last
      3 wood	donor
      3 won	t
      3 witness	is
      3 with	murders
      3 with	harry
      3 with	crime
      3 with	an
      3 will	include
      3 will	he
      3 will	also
      3 why	crime
      3 who	they
      3 who	had
      3 whitey	bulger
      3 which	includes
      3 which	have
      3 which	eventually
      3 where	you
      3 where	the
      3 when	they
      3 what	was
      3 what	s
      3 were	not
      3 were	easy
      3 were	down
      3 were	also
      3 were	able
      3 weekend	parker
      3 week	s
      3 weapons	and
      3 we	don
      3 ways	it
      3 way	from
      3 was	slightly
      3 was	sentenced
      3 was	pronounced
      3 was	killed
      3 was	discovered
      3 was	constantly
      3 was	appointed
      3 warrant	at
      3 wanted	for
      3 wald	last
      3 wald	donor
      3 voice	he
      3 violent	crimes
      3 villaraigosa	said
      3 very	good
      3 ventura	last
      3 ventura	donor
      3 vehicle	burglary
      3 vast	vast
      3 vast	ocean
      3 vandalism	spree
      3 van	as
      3 using	a
      3 used	in
      3 us	novelist
      3 us	cop
      3 up	on
      3 up	and
      3 unwin	load
      3 underbelly	if
      3 unavailable	as
      3 type	of
      3 two	months
      3 turned	novelist
      3 tuesday	valley
      3 truth	is
      3 true	grit
      3 tried	to
      3 tradition	of
      3 towns	have
      3 tour	to
      3 toronto	star
      3 too	interesting
      3 to	work
      3 to	use
      3 to	three
      3 to	show
      3 to	sgt
      3 to	serve
      3 to	put
      3 to	promote
      3 to	play
      3 to	meet
      3 to	local
      3 to	know
      3 to	investigate
      3 to	focus
      3 to	find
      3 to	base
      3 to	avoid
      3 to	ask
      3 to	answer
      3 to	and
      3 to	an
      3 to	allow
      3 tires	slashed
      3 tipsters	wishing
      3 times	reported
      3 times	from
      3 times	australia
      3 thursday	the
      3 through	luck
      3 three	dozen
      3 this	is
      3 this	but
      3 think	there
      3 things	about
      3 they	ve
      3 they	may
      3 they	believe
      3 there	he
      3 them	to
      3 them	and
      3 their	own
      3 their	families
      3 thefts	at
      3 theft	was
      3 the	white
      3 the	warner
      3 the	use
      3 the	us
      3 the	uk
      3 the	two
      3 the	time
      3 the	street
      3 the	statement
      3 the	stabbing
      3 the	santa
      3 the	results
      3 the	process
      3 the	previous
      3 the	person
      3 the	pasadena
      3 the	parking
      3 the	other
      3 the	officer
      3 the	numbers
      3 the	news
      3 the	nativity
      3 the	movement
      3 the	monterey
      3 the	manhattan
      3 the	long
      3 the	l
      3 the	key
      3 the	judge
      3 the	job
      3 the	jerusalem
      3 the	issue
      3 the	internet
      3 the	hidden
      3 the	gritty
      3 the	graffiti
      3 the	four
      3 the	fire
      3 the	fifth
      3 the	felony
      3 the	event
      3 the	empathic
      3 the	days
      3 the	day
      3 the	criminal
      3 the	chance
      3 the	central
      3 the	california
      3 the	body
      3 the	big
      3 the	article
      3 the	arrests
      3 the	achievement
      3 that	you
      3 that	was
      3 that	people
      3 that	have
      3 that	good
      3 that	are
      3 than	yourself
      3 than	years
      3 than	the
      3 than	it
      3 than	a
      3 tell	me
      3 talk	at
      3 take	another
      3 t	write
      3 t	make
      3 t	admit
      3 switzer	last
      3 switzer	donor
      3 swastika	in
      3 suspects	are
      3 suspected	of
      3 supposed	to
      3 summers	said
      3 style	murder
      3 stude	last
      3 stude	donor
      3 struggle	with
      3 streets	it
      3 street	in
      3 storytelling	and
      3 stoppers	is
      3 stop	on
      3 stevenson	last
      3 stevenson	donor
      3 steve	cooley
      3 step	and
      3 statement	the
      3 statement	said
      3 state	sen
      3 spokeswoman	for
      3 speaking	before
      3 some	ways
      3 solve	crimes
      3 social	things
      3 so	in
      3 smallest	towns
      3 smallest	of
      3 slightly	out
      3 slashed	in
      3 six	people
      3 six	months
      3 singled	out
      3 show	voice
      3 show	that
      3 shop	in
      3 shootings	and
      3 shooting	death
      3 shell	casings
      3 sheargold	crime
      3 she	says
      3 sex	offender
      3 seven	part
      3 settings	and
